index	Transcript	AAOL	AAOJ	AAOF	AAOD	AAOC	AAOB	AAO6	AAO4	AAO3	AANV	AANR	AANJ	AANI	AAM4	AAM3	AAM2	AALZ	AALY	AALX	AALW	AALT	AALS	AALR	AALQ	AALP	AALO	AALN	AALG	AALF	AAL7	AAL5	AAKM	AAKL	AAKH	AAKD	AAHT	AAHN	AAHL	AAHG	AAHC	AAHA	AAH8	AAH4	AAH3	AAH2	AAH0	AAGZ	AAGX	AAGW	AAGV	AAGT	AAGS	AAGP	AAGO	AAGN	AAGM	AAGK	AAGJ	AAGG	AAGF	AAGE	AAGC	AAGA	AAG9	AAG8	AAG7	AAG6	AAG5	AAG3	AAG0	AAFZ	AAFY	AAFV	AAFO	AAFN	AAFM	AAFL	AAFJ	AAFI	AAFH	AAFE	AAF8	AAF6	AAF4	AAF1	AAEX	AAEW	AAAL	AA61	AA4L	AA1I	AA1H	AA1G	AA0N	AA0H	AA0F	AA0E	AA0D	AA0B	AA06	AA05	A9T9	A9SE	A9D6	A9D5	A94I	A94D	A912	A90Y	A90W	A90S	A90Q	A90P	A8S3	A8S2	A8JY	A8JX	A8JW	A8JP	A8H5	A8H4	A8H1	A8G4	A8D5	A8AE	A8AD	A8AC	A8AB	A8AA	A8A9	A8A8	A89B	A84Y	A84X	A84W	A7V5	A7V4	A7V3	A7U4	A7U3	A7U2	A76C	A6J6	A6IS	AAKO	AAKG	AAHP	AAGY	AAGI	AAFG
S100A10	S100A10-002	1094.75	599.069	415.78	401.348	392.934	285.009	814.789	916.6160000000001	745.172	351.654	519.7180000000001	524.75	201.858	240.49900000000002	643.325	424.744	442.406	390.226	348.23199999999997	603.9209999999999	799.3889999999999	471.801	518.727	343.894	352.629	887.7669999999999	645.7869999999999	1399.31	574.323	561.615	337.61400000000003	420.57800000000003	462.329	520.327	649.07	816.8860000000001	568.126	743.607	468.42800000000005	335.159	652.971	672.87	449.14099999999996	297.98400000000004	632.515	718.4689999999999	616.124	342.56800000000004	319.975	234.354	563.8330000000001	753.457	375.033	586.769	444.781	406.222	759.1360000000001	438.36699999999996	436.401	1054.42	358.26300000000003	494.527	590.995	340.954	439.296	366.68199999999996	390.76599999999996	437.673	406.154	668.164	540.998	572.72	459.82	868.8580000000001	606.026	927.25	493.532	493.64	625.486	362.594	555.52	346.825	231.15900000000002	318.684	378.342	391.899	599.183	301.101	1358.45	1857.99	296.274	455.957	699.329	566.874	473.031	624.711	531.123	599.799	372.983	421.536	499.537	490.88300000000004	331.539	214.673	523.21	820.243	89.3735	475.415	497.715	520.25	291.449	418.07599999999996	276.497	753.8989999999999	398.379	253.525	280.881	458.62800000000004	344.37	559.215	334.825	309.694	625.163	409.352	557.091	508.379	575.75	356.27	500.61400000000003	438.279	570.06	315.01	559.018	680.023	351.866	274.903	453.00800000000004	361.028	485.18	457.564	277.279	430.282	317.394	462.55	309.14	595.4135	394.936	284.548	494.6815	268.564
S100A10	S100A10-001	59.4374	67.7768	43.4114	36.3056	40.8949	29.1839	69.95100000000001	79.7018	75.6677	46.5933	62.1279	58.123000000000005	20.8803	21.3043	92.4513	44.8158	42.753	42.9237	39.3616	44.8766	64.0246	43.2171	60.3107	31.9669	31.0504	86.9626	56.7447	110.704	41.5001	43.7893	34.0651	38.5501	53.708	48.7962	31.8577	63.2331	74.6735	61.897	37.351	50.1915	51.0334	62.7986	55.6165	27.9557	74.0107	7.290189999999999	45.2202	36.3905	26.191999999999997	19.6705	73.8739	56.3446	37.006	59.7111	36.0211	42.9216	72.3544	53.9143	30.3238	81.7843	25.7442	57.8944	50.7397	40.7612	36.0636	22.4838	61.1483	41.8752	57.4724	77.6645	61.0094	63.8233	50.7275	55.9642	65.6552	49.9827	49.5676	3.7222699999999995	63.1163	41.1581	55.6869	28.0973	25.8968	32.3949	44.6837	36.9445	78.7817	19.1013	138.109	157.269	30.3374	33.2562	86.2295	41.3125	26.5112	45.1589	28.9903	26.5649	15.9064	13.4057	18.3499	49.674	42.4547	24.4368	48.2614	84.3951	6.410159999999999	42.9851	41.5645	47.48	22.6189	42.0603	24.386999999999997	64.0815	40.3983	21.445999999999998	29.9939	41.474	26.9399	65.7932	34.5501	38.0892	65.8467	34.556999999999995	34.714	45.2403	50.4671	32.3658	41.6398	35.8793	45.9002	30.0431	49.8198	43.4694	26.5942	32.3091	4.68058	39.6225	46.9386	41.4074	29.5374	41.2262	28.1013	44.1738	35.17635	41.3851	36.7978	31.13745	37.53715	29.6846
S100A10	S100A10-004	12.3106	8.79766	17.9391	7.99447	15.4631	2.72713	12.6261	13.1948	26.7389	16.5446	6.676939999999999	18.7621	8.29901	6.51058	12.2772	5.31808	6.04355	2.68692	8.14979	12.9648	5.54875	3.06661	7.81568	7.64905	11.4577	9.0367	4.54657	6.933739999999999	1.7761799999999999	7.320139999999999	8.01861	7.89491	7.516660000000001	7.75075	14.5143	27.9552	8.82087	5.56273	14.6682	14.1561	25.2956	3.85764	5.11178	8.03599	15.8428	32.6673	9.994110000000001	9.003680000000001	8.68154	3.26595	8.85224	24.5453	14.4803	20.1251	7.531280000000001	5.55561	10.5913	5.86758	6.874619999999999	9.27418	7.515619999999999	14.9247	9.98053	12.6042	6.113580000000001	6.09315	7.6335	15.557	32.8368	16.3787	9.09377	9.65705	7.71235	12.2427	12.7041	11.0645	3.6241	87.1121	10.2764	9.1646	8.203489999999999	5.31481	8.87912	8.09036	8.112119999999999	5.28189	11.7036	4.6001199999999995	37.0119	26.1168	7.85905	6.50624	14.002	0.0	1.79655	3.0159	0.0	9.86228	5.86479	3.26572	11.9895	23.6972	18.3811	7.133360000000001	15.2536	33.4067	5.66084	20.1847	14.2529	17.4003	6.8745	26.8883	4.91561	8.01408	16.434	13.2211	14.495999999999999	24.4807	15.1578	32.8666	16.6144	12.5027	10.56	12.5486	3.8751300000000004	11.3109	17.8586	11.3431	18.3966	9.16375	6.560389999999999	7.2106	12.2424	0.795028	14.5387	9.577119999999999	8.19864	13.5116	8.12722	7.376860000000001	13.9837	21.3187	5.29801	19.3813	12.4227	15.044045	8.1773	18.28018	7.909155	4.20236
S100A10	S100A10-003	6.54619	125.384	92.6403	101.76	91.736	82.3066	102.03	196.696	196.612	106.819	157.736	123.28200000000001	67.3298	55.9628	165.02599999999998	129.317	124.015	116.006	106.07600000000001	203.456	143.799	140.659	155.058	95.5966	71.82600000000001	262.411	114.59899999999999	369.00199999999995	83.3098	125.848	83.8124	103.25200000000001	107.83200000000001	145.40200000000002	109.516	170.428	130.451	154.856	109.735	84.6854	132.268	175.687	118.959	67.3799	173.69099999999997	161.041	135.37	101.65899999999999	68.1927	59.2406	172.74400000000003	194.983	123.17	150.196	104.36200000000001	132.722	223.245	123.741	89.1086	271.033	85.7132	137.584	168.602	86.801	85.7542	91.4473	120.70299999999999	117.088	95.8417	177.675	179.524	144.27	118.499	195.076	115.986	117.895	91.1496	71.0675	175.799	107.485	119.675	90.7721	57.4177	85.7909	91.7709	87.1106	144.873	54.751999999999995	439.765	422.55199999999996	74.59	93.9798	189.657	38.8007	62.4156	2.65014	29.0603	55.8762	20.726	24.254	16.5083	179.19099999999997	83.3327	61.6275	160.515	330.194	22.5581	164.916	148.69	156.423	77.9016	130.917	67.9203	213.225	119.056	62.7654	74.6881	151.615	81.6649	142.79	88.6276	79.1731	177.14	87.3611	89.3743	143.066	127.399	107.46	118.37899999999999	94.0026	109.021	93.3001	219.512	181.85299999999998	109.44200000000001	79.0372	115.709	105.695	125.399	128.957	76.5695	135.69	95.4577	159.996	77.25295	63.067	87.4014	81.1373	134.3315	67.85485
S100A11	S100A11-001	288.961	618.729	154.181	202.545	938.1139999999999	643.395	366.86699999999996	219.99900000000002	168.817	115.646	155.27700000000002	148.69799999999998	626.374	384.061	1244.28	462.12699999999995	901.745	905.132	1253.53	547.5930000000001	1100.48	985.395	869.3919999999999	873.768	1039.02	976.2310000000001	814.819	958.904	644.035	894.923	972.552	1022.07	1188.48	1025.77	978.975	261.892	557.075	202.88	116.316	421.02099999999996	628.217	164.56099999999998	708.578	212.49	837.113	241.082	936.0419999999999	587.63	863.773	840.194	924.258	758.043	717.618	447.5	1181.09	510.231	1311.82	1064.82	525.0409999999999	1795.43	798.196	858.7460000000001	1398.85	306.975	847.4069999999999	960.318	576.975	712.1410000000001	557.224	1133.19	504.17	1509.2	508.64	1222.48	1014.5	1862.99	1059.27	493.274	1322.54	235.007	180.74	209.296	174.827	173.518	192.44400000000002	189.822	285.959	231.435	1015.31	1536.89	363.649	458.704	121.62700000000001	464.656	748.288	674.3889999999999	468.824	672.982	180.175	393.55199999999996	1113.71	265.276	248.32	146.515	196.37599999999998	746.317	758.6310000000001	272.528	665.415	124.446	715.794	51.3913	709.717	1248.62	1006.22	80.9291	39.816	90.6482	74.37100000000001	268.127	333.82300000000004	910.8380000000001	827.426	165.148	335.074	1269.13	182.535	918.919	112.124	100.537	1299.84	332.99699999999996	677.1569999999999	1779.38	737.4889999999999	165.278	117.959	74.6444	882.888	764.77	160.986	40.5024	127.98299999999999	212.768	294.178	590.076	110.6721	249.7148	429.7945	260.264
S100A11	S100A11-002	13.0225	0.0	0.0	0.0	9.1094	0.6893279999999999	0.736483	1.2258	0.25537600000000005	0.49163500000000004	0.510999	0.0	2.28024	0.17929	0.745158	0.890076	1.60117	1.2645600000000001	0.579471	1.5021799999999998	1.44078	0.670623	1.27159	1.62968	1.53467	0.525171	0.7414390000000001	1.85369	1.3515	0.889753	0.8217040000000001	0.346009	0.497356	0.542914	0.5381279999999999	1.75269	1.5216399999999999	0.26318800000000003	0.603171	0.232388	0.3292	0.463826	0.537614	0.9353	0.310796	0.0	2.37448	2.06823	0.529088	1.36996	0.24437199999999998	1.7342099999999998	0.35517	0.0	0.0	0.871416	1.1508200000000002	0.26268800000000003	1.40056	1.56863	0.498692	0.767908	1.36047	0.889465	1.79795	1.03989	1.54894	0.0	3.0514900000000003	0.0	0.0	1.9769999999999999	0.263176	2.30423	0.408918	1.79748	5.80397	0.0	0.277544	0.418022	0.24011500000000002	0.0	0.0	0.0	0.525567	0.19300699999999998	0.381298	0.0	0.821493	1.3945100000000001	0.516385	0.500428	0.0	0.0	0.0	13.2669	0.0	2.15013	0.0	13.645999999999999	0.0	0.219664	0.0	0.0	0.22480100000000003	0.243592	0.0	0.954574	0.0	0.540602	1.28061	0.0	0.269345	0.961391	0.49732	0.6895819999999999	0.44574300000000006	0.798141	0.209556	0.697023	0.5101979999999999	0.316121	1.68993	0.0	0.450243	1.31515	0.6296189999999999	0.8303440000000001	0.351754	0.0	0.28517600000000004	0.334566	0.25390300000000005	3.2128900000000002	1.36915	0.206708	0.0	0.423813	0.877373	0.257621	0.718691	0.0	0.0	0.729564	0.4310805	4.786785	0.3263355	0.699371	1.35984	0.2227765
TCHHL1	TCHHL1-001	0.0	0.0	0.0	0.00522415	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00731728	0.0	0.0	0.0130981	0.0	0.0	0.167478	0.012338600000000002	0.0	0.040701	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.017348099999999998	0.0	0.0170055	0.00633895	0.0146096	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0069391	0.0	0.0	0.0	0.0	0.00786934	0.0	0.0	0.0	0.00633961	0.026986400000000004	0.020928	0.00397263	0.0	0.0	0.0	0.012207299999999999	0.0	0.0	0.0	0.0	0.0	0.00772022	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00730877	0.0	0.0111902	0.0	0.0	0.025996299999999996	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0116951	0.0	0.0105462	0.0	0.0	0.0	0.0	0.0	0.0069178	0.0	0.0	0.0132112	0.0	0.0	0.0	0.0	0.00631721	0.00636209	0.0	0.0	0.0	0.0	0.0	0.0064272999999999995	0.0	0.024909099999999997	0.0	0.0	0.0	0.00651643	0.0	0.0	0.0	0.0	0.0	0.0	0.00542426	0.0	0.0	0.0	0.0	0.0	0.00712181	0.00487443	0.0	0.0	0.010993600000000001	0.0	0.0	0.0	0.004572055	0.0	0.0
TCHH	TCHH-001	0.0707408	0.0421886	0.279404	0.058373	0.222597	0.0872048	0.143757	0.421858	0.348125	0.0385646	0.0695468	0.05216950000000001	0.0209461	0.22668600000000003	0.0522443	0.11311600000000001	0.123272	0.0445191	0.20419400000000001	0.0479017	0.07224610000000001	0.16759300000000002	0.116247	0.0129625	0.014882399999999999	0.0823135	0.0798557	0.027962599999999997	0.00473809	0.163852	0.041337099999999995	0.108918	0.16986500000000002	0.154128	0.20942	0.0502658	0.0445394	0.0360717	0.146204	0.25414899999999996	0.11471400000000001	0.141388	0.0391372	0.359261	0.291745	0.17422	0.0848367	0.14918900000000002	0.0715827	0.0	0.0820791	0.193428	0.32613000000000003	0.124071	0.314286	0.0484298	0.13314700000000002	0.114229	0.09751900000000001	0.137078	0.15773099999999998	0.264108	0.289783	0.32669000000000004	0.220177	0.15861199999999998	0.0658102	0.0981465	0.0905616	0.425422	0.0324833	0.37448899999999996	0.0679126	0.150779	0.0326096	0.188854	0.180746	0.09135850000000001	0.414675	0.0733488	0.10921800000000001	0.174773	0.181107	0.0659602	0.0765498	0.09379939999999999	0.09762799999999999	0.0178252	0.176404	2.81503	0.181134	0.08743610000000002	0.114945	0.083466	0.215191	0.0491124	0.0530243	0.0535736	0.06181609999999999	0.211864	0.13381300000000002	0.122564	0.054429599999999995	0.11213699999999999	0.09033530000000001	0.254189	0.26455500000000004	0.190504	0.178175	0.041636900000000004	0.0609174	0.0799825	0.051282400000000006	0.108357	0.101549	0.0678676	0.06189019999999999	0.0783133	0.0728488	0.132991	0.10998499999999999	0.118743	0.10756099999999999	0.0221977	0.0368999	0.383755	0.038041000000000005	0.08389730000000001	0.140871	0.297666	0.14725	0.129428	0.12069200000000001	0.744063	0.0	0.0896107	0.0890529	0.0453823	0.404199	0.0875683	0.10793299999999999	0.124367	0.0162425	0.207619	0.0858949	0.0908781	0.016083	0.07831025	0.1263415	0.05400605
TCHH	TCHH-201	7.16206e-09	2.7841799999999998e-09	7.86563e-08	8.95869e-10	2.4799900000000005e-08	2.97851e-08	5.88621e-10	1.3862899999999998e-10	4.6905400000000004e-08	3.42839e-09	1.29979e-08	4.40523e-11	0.255071	0.0	1.7791700000000002e-10	5.4242099999999996e-08	1.6581700000000003e-08	7.322920000000001e-09	0.0	1.5016100000000002e-08	0.0	1.6312199999999999e-09	2.2277900000000002e-10	0.0	0.0	1.61178e-10	6.50137e-10	0.0	0.0	2.41415e-10	0.0	3.6911e-11	1.70088e-08	2.4916100000000002e-09	4.36911e-11	2.5651e-09	3.77273e-09	0.0	0.0	9.04313e-08	0.0	1.6231199999999999e-09	3.811920000000001e-09	7.1928500000000004e-09	3.18208e-09	1.2958699999999998e-09	0.0	1.14274e-09	0.0	0.018888400000000003	2.29138e-09	8.04023e-10	1.03795e-10	0.0	2.02717e-09	1.13076e-08	4.4434899999999995e-08	8.41331e-11	0.0	0.0	0.0	3.51034e-09	1.2904400000000001e-08	0.0	0.0	4.86764e-10	0.0	4.8311599999999994e-08	4.67564e-09	8.87201e-09	1.19774e-10	2.86387e-08	7.92208e-11	7.20496e-09	1.2096800000000001e-09	4.39798e-10	6.55074e-11	0.0	1.0273899999999999e-10	4.91547e-09	0.0	4.41909e-09	0.0	5.912450000000001e-10	7.38241e-10	1.12585e-09	2.6766299999999997e-09	1.3313e-10	4.6556699999999995e-10	9.21697e-09	2.76855e-08	1.02737e-09	2.9618799999999997e-10	4.70224e-09	5.0564399999999995e-09	1.79028e-09	0.0	9.699e-10	8.581950000000001e-09	1.0573700000000001e-08	1.20432e-09	5.25567e-09	1.67392e-08	8.78154e-10	4.63636e-09	4.5562600000000006e-09	4.77817e-11	5.410500000000001e-09	4.27816e-09	6.75763e-11	5.08394e-11	6.59647e-11	5.010749999999999e-10	4.1268699999999994e-09	0.0	8.65344e-11	1.16605e-10	1.71269e-08	9.062489999999999e-10	8.194200000000001e-08	9.98718e-09	0.139247	1.3402900000000001e-09	1.2480799999999999e-09	1.21228e-09	5.10149e-08	4.6344699999999996e-10	1.8237200000000003e-10	1.0845100000000001e-08	1.82521e-08	2.73387e-10	4.6495800000000004e-08	1.59881e-09	0.194485	0.0955196	2.8639299999999995e-10	0.0	1.91642e-09	7.033359999999999e-10	2.0783099999999998e-10	1.3018099999999999e-09	2.23804e-08	2.76987e-11	1.49975e-08	4.394505e-09	2.27178795e-08	1.3334815e-09	2.688033e-09	6.2781885e-10	1.984087e-09
RPTN	RPTN-001	0.0	0.0	0.0	0.0	0.00698848	0.0	0.0	0.0105682	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.58969	0.0	0.0	0.0	0.16741199999999998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.200825	0.00682662	0.0	0.0	0.0	0.0	0.015414099999999998	0.0	0.0	0.014972899999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.023621400000000004	0.0	0.0374085	0.0	0.0	0.0	0.0454402	0.0128922	0.0	0.0	0.0	0.045144699999999996	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0169702	0.0	0.0	0.0	0.00759975	0.0	0.00638256	0.0	0.0115692	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0134545	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00482698	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.07498	0.013996399999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01455085	0.0	0.0
